building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,location_quality_grade,premise_quality_grade,listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,previous_tenant,notes
356 West Street ,#1 Auto Tech Group,Occupied,Unavailable,Automotive,,Local Chain / Independant,$,North American,,,1 - Low End,,2,Tertiary,,34,,0,2825,0,0,,1,15,2825,188,Standard,,West Village,3,2825,10014,981449,205229,,1,Manhattan,1-601-1,601,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-601-1-1,,40.738088,-74.005095,,
327 West 11 Street A,11th Street Cafe ,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,16,Street Frontage,0,512,0,0,,1,15,512,34,Standard,Yes,West Village,7,512,10014,982174,207362,Existing,1,Manhattan,1-634-36,634,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-634-36-1,,40.735712,-74.007562,,
245 Bleecker Street,16 Handles,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",National Presence,$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,No,100,Street Frontage,0,1447,0,0,Step up,1,18,1447,80,Standard,Yes,West Village,1,1447,10014,983546,205573,Existing,1,Manhattan,1-589-5,589,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-589-5-1,,40.730884,-74.002685,,
319 6 Avenue,2 Bros Pizza,Occupied,Unavailable,Restaurant & Bar,Fast Food,Regional Presence,$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1344,0,0,Step up,1,15,1344,89,Standard,Yes,West Village,1,1344,10014,983752,205640,Existing,1,Manhattan,1-589-34,589,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-589-34-1,,40.727069,-73.987467,,
259 Bleecker Street,259 Unique Gifts & Souvenirs,Occupied,Unavailable,Gifts and Memorabilia,"Gift Shop, Memorabilia and Souvenirs",Local Chain / Independant,$,North American,,,3 - High Quality,2 - Average,5,Average,No,25,Street Frontage,0,670,0,0,,1,15,670,44,Standard,Yes,West Village,4,670,10014,983465,205733,Existing,1,Manhattan,1-590-2,590,2,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-590-2-1,,40.731337,-74.002946,,
300 Bleecker Street,3NY,Occupied,Unavailable,Apparel,,National Presence,$$$,North American,,,3 - High Quality,2 - Average,5,Average,No,50,Street Frontage,0,400,0,0,,1,15,400,26,Standard,Yes,West Village,2,400,10014,983155,206121,Existing,1,Manhattan,1-588-26,588,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-26-1,,40.732497,-74.003853,,
45 Grove Street A,45 Grove Street Laundromat,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,50,Street Frontage,0,1036,0,0,Step down,1,15,1036,69,Standard,Yes,West Village,2,1036,10014,983051,206329,Existing,1,Manhattan,1-588-67,588,67,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-67-1,,40.732927,-74.004284,,
5 9th Avenue ,5 9th ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,1100,0,0,,1,,1100,,Standard,Yes,West Village,2,1100,10014,982381,208709,Existing,1,Manhattan,1-644-56,644,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-644-56-1,,40.739553,-74.006609,,
206 Varick Street D,607 Varick Street Corp.,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,15,Street Frontage,0,571,0,0,,1,30,571,19,Standard,Yes,West Village,5,571,10014,982848,204783,Existing,1,Manhattan,1-528-21,528,21,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-528-21-4,,40.728757,-74.00509,,
347 Bleecker ,7 For All Mankind ,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,Yes,100,Street Frontage,0,700,0,0,,1,40,700,17,Standard,Yes,West Village,1,700,10014,983044,206671,Existing,1,Manhattan,1-619-55,619,55,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-55-1,,40.733924,-74.0044,,
10 Morton Street,Vacant ,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,724,0,0,,1,15,482,32,Standard,Yes,West Village,2,724,10014,983267,205654,Existing,1,Manhattan,1-586-57,586,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-586-57-1,,40.731251,-74.003605,,
51 7 Avenue South B,7th Heaven Hair Salon,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,35,Street Frontage,0,1370,0,0,,1,15,1370,91,Standard,Yes,West Village,3,1370,10014,983222,205770,Existing,1,Manhattan,1-587-30,587,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-587-30-2,,40.7315,-74.003798,,
101 7 Avenue South,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,100,Street Frontage,0,800,0,0,Step up,1,21,800,38,Standard,Yes,West Village,1,800,10014,983482,206355,Existing,1,Manhattan,1-591-19,591,19,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-591-19-1,,40.733183,-74.002837,,
91 Horatio Street,91 Horatio,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,13,Street Frontage,0,4753,0,0,,1,45,4753,105,Standard,Yes,West Village,13,4753,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-643-1-2,,40.738846,-74.008566,,
641 Hudson Street,A Restaurant by Chef Guenter Seeger ,Occupied,Unavailable,Restaurant & Bar,,,,,,,2 - Average,3 - High Quality,5,Average,No,100,Street Frontage,0,3650,0,0,,1,30,3650,121,Standard,Yes,West Village,1,3650,10014,982640,208523,Existing,1,Manhattan,1-627-13,627,13,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-627-13-1,,40.739027,-74.005633,,
267 West 4 Street,A.P.C.,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,100,Street Frontage,0,896,0,0,Step up,1,50,896,17,Standard,Yes,West Village,1,896,10014,983360,207292,Existing,1,Manhattan,1-613-1,613,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-613-1-1,,40.73564,-74.003285,,
269 West 4 Street,A.P.C.,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,European,,,2 - Average,3 - High Quality,5,Average,No,100,Street Frontage,0,450,0,0,Step up,1,15,450,30,Standard,Yes,West Village,1,450,10014,983356,207311,Existing,1,Manhattan,1-613-2,613,2,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-613-2-1,,40.73569,-74.003298,,
314 Bleecker Street,A.P.C.,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,3 - High Quality,2 - Average,5,Average,No,50,Street Frontage,0,1285,0,0,,1,20,1285,64,Standard,Yes,West Village,2,1285,10014,983105,206232,Existing,1,Manhattan,1-588-7501,588,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-7501-1,,40.732797,-74.004021,,
92 Perry St,A.P.C.,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,100,Street Frontage,0,3828,0,0,Step up,1,30,2353,78,Standard,Yes,West Village,2,3828,10014,982834,207113,Existing,1,Manhattan,1-621-7503,621,7503,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-621-7503-1,,40.735199,-74.005111,,
14 Bedford Street B,Abbottega,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,1193,0,0,,1,20,1193,59,Standard,Yes,West Village,2,2387,10014,983337,204933,Existing,1,Manhattan,1-527-7,527,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,,,,,,,,,,,,,,,1,1-527-7-1,,40.729128,-74.003432,,
161 Seventh Ave South ,ABC Cleaners & Tailoring ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,20,Street Frontage,0,594,0,0,,1,25,594,23,Standard,Yes,West Village,3,594,10014,983861,207280,Existing,1,Manhattan,1-612-51,612,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-612-51-2,,40.735278,-74.001712,,
619 Hudson Street,ABC Dry Cleaners & Laundromat,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,400,0,0,,1,15,400,26,Standard,Yes,West Village,1,400,10014,982622,208151,Existing,1,Manhattan,1-625-10,625,10,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-625-10-1,,40.737995,-74.005794,,
613 Hudson Street,Abingdon 12,Occupied,Unavailable,Gallery,Art,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,520,0,0,0,Step down,1,15,520,34,Standard,Yes,West Village,1,520,10014,982623,208063,Existing,1,Manhattan,1-625-14,625,14,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-625-14-1,,40.737763,-74.005832,,
1 Abingdon Street,Abingdon Market,Occupied,Unavailable,Grocery,Supermarket,Local Chain / Independant,$$,North American,Organic,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,3911,0,0,,1,75,3911,52,Standard,Yes,West Village,1,3911,10014,982860,207737,Existing,1,Manhattan,1-624-7504,624,7504,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-624-7504-1,,40.736945,-74.005288,,
107 Greenwich Avenue,Abingdon Square Veterinary Clinic,Occupied,Unavailable,"Building, Garden, Animal",Pet Related,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,697,0,0,Step down,1,24,697,29,Standard,Yes,West Village,1,697,10014,983656,208106,Existing,1,Manhattan,1-615-79,615,79,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-615-79-1,,40.737883,-74.002038,,
130 West 10 Street,Abingdon Vet,Occupied,Unavailable,"Building, Garden, Animal",Pet Related,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100,Street Frontage,1232,0,0,0,,1,,1232,,Standard,Yes,West Village,1,1232,10014,984165,206879,Existing,1,Manhattan,1-610-52,610,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-610-52-1,,40.734556,-74.00032,,
329 Bleecker Street,Accessorize ,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$$,European,,,3 - High Quality,3 - High Quality,6,Prime,Yes,100,Street Frontage,0,800,0,0,,1,35,800,22,Standard,Yes,West Village,1,800,10014,983086,206531,Existing,1,Manhattan,1-619-50,619,50,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-50-1,,40.733519,-74.004194,,
508 Hudson St,Acme Cleaners ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,10,Street Frontage,0,410,0,0,,1,45,410,9,Standard,Yes,West Village,4,410,10014,982583,206432,Existing,1,Manhattan,1-619-1,619,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-619-1-4,,40.733341,-74.006177,,
156 Perry Street,Action Carting Environmental Services ,Occupied,Unavailable,Other Services,,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100,Street Frontage,0,1200,0,0,Step up,1,2,1200,600,Standard,Yes,West Village,1,1200,10014,981782,206892,Existing,1,Manhattan,1-637-21,637,21,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-637-21-1,,40.734642,-74.00893,,
702 Greenwich Street,Adelaide ,Occupied,Unavailable,Household Goods,Home Decor,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,636,0,0,,1,15,636,42,Standard,Yes,West Village,1,636,10014,982157,206568,Existing,1,Manhattan,1-631-24,631,24,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-631-24-1,,40.733671,-74.007462,,
9 Christopher Street,Aedes de Venustas,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,650,0,0,,1,10,650,65,Standard,Yes,West Village,2,650,10014,984174,206756,Existing,1,Manhattan,1-610-64,610,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-610-64-2,,40.734065,-74.000241,,
77 Greenwich Avenue,Aesop,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,International Presence,$$$,North American,,,2 - Average,2 - Average,4,Average,No,10,Street Frontage,0,856,0,0,,1,15,856,57,Standard,Yes,West Village,5,856,10014,983837,207676,Existing,1,Manhattan,1-614-61,614,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-614-61-1,,40.734968,-74.006718,,
341 Bleecker ,Aesop ,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,494,0,0,,1,40,494,12,Standard,Yes,West Village,1,494,10014,983065,206601,Existing,1,Manhattan,1-619-52,619,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-52-1,,40.733747,-74.004309,,
140 7 Avenue South ,Agave,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1700,0,0,,1,50,1700,34,Standard,Yes,West Village,1,1700,10014,983578,206995,Existing,1,Manhattan,1-611-14,611,14,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-611-14-1,,40.734715,-74.002393,,
85 Christopher ,A-Kass Music ,Occupied,Unavailable,"Toys, Hobbies",Hobbies,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,900,0,0,,1,45,900,20,Standard,Yes,West Village,1,900,10014,983180,206566,Existing,1,Manhattan,1-619-81,619,81,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-81-1,,40.733545,-74.003829,,
13 Christopher Street A,Albertine ,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,25,Street Frontage,0,825,0,0,Step up,1,15,825,55,Standard,Yes,West Village,4,825,10014,984099,206743,Existing,1,Manhattan,1-610-66,610,66,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-610-66-3,,40.734033,-74.000483,,
10 Downing Street,Alex Anthony Salon,Occupied,Unavailable,Personal Services,,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,10,Street Frontage,0,1180,0,0,,1,25,1180,47,Standard,Yes,West Village,6,11806,10014,983463,204953,Existing,1,Manhattan,1-527-27,527,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,,,,,,,,,,,,,,,1,1-527-27-1,,40.729487,-74.002969,,
