building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,location_quality_grade,premise_quality_grade,listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,previous_tenant,notes
34 Downing Street,Blue Ribbon Bar,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Regional Presence,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,710,0,0,,1,15,710,47,Standard,Yes,West Village,2,710,10014,983195,204946,Existing,1,Manhattan,1-528-37,528,37,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-528-37-1,,40.72923,-74.003808,,
55 Greenwich Street,Blue Stone Lane,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,750,0,0,,1,30,750,25,Standard,Yes,West Village,1,750,10014,984011,207348,Existing,1,Manhattan,1-612-57,612,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-612-57-1,,40.735807,-74.000816,,
402 West 14 Street,Boardriders Quicksilver,Occupied,Unavailable,Sporting Goods,Sporting Apparel,International Presence,$$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,No,33,Street Frontage,0,3334,0,0,,1,30,3000,100,High,Yes,West Village,3,3334,10014,982583,209208,Existing,1,Manhattan,1-646-38,646,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-646-38-3,,40.74085,-74.005503,,
181 W 10th ,Bobo,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,1594,0,0,,1,30,1594,53,Standard,Yes,West Village,1,1594,10014,983522,206870,Existing,1,Manhattan,1-611-41,611,41,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-611-41-1,,40.734396,-74.002594,,
863 Washington Street,Bond No. 9,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,International Presence,$$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,20,Street Frontage,0,1000,0,0,,1,18,1000,55,Standard,Yes,West Village,5,1000,10014,982294,209309,Existing,1,Manhattan,1-646-27,646,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-646-27-2,,40.741154,-74.007148,,
399 Bleecker Street,Bond No. 9 ,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,Local Chain / Independant,$$,North American,,,3 - High Quality,2 - Average,5,Average,No,30,Street Frontage,0,270,0,0,,1,20,270,13,Standard,Yes,West Village,2,270,10014,982879,207369,Existing,1,Manhattan,1-622-34,622,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-622-34-2,,40.73585,-74.004972,,
163 Charles Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,2000,0,0,,1,15,2000,133,Standard,Yes,West Village,1,2000,10014,981631,206749,Existing,1,Manhattan,1-637-7506,637,7506,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-637-7506-1,,40.734032,-74.009445,,
395 West Street,Bongo,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,100,Street Frontage,0,700,0,0,,1,120,700,5,Standard,Yes,West Village,1,700,10014,981489,206340,Existing,1,Manhattan,1-636-7,636,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-636-7-1,,40.738088,-74.005095,,
163 West 10 Street ,Bonnie Slotnick Cookbooks ,Occupied,Unavailable,Books,Book Stores,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,750,0,0,Step up,1,25,750,30,Standard,Yes,West Village,2,750,10014,983715,206911,Existing,1,Manhattan,1-611-32,611,32,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-611-32-1,,40.734494,-74.001904,,
164 West 4 Street,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,15,Street Frontage,0,352,0,0,Step up,1,15,352,23,Standard,Yes,West Village,3,352,10014,983861,205900,Existing,1,Manhattan,1-590-32,590,32,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-590-32-1,,40.731852,-74.001403,,
